Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
BCR-YT_S5_L004_R2_001	(14.0, 1.0)	(15.0, 65.0)	(16.0, 1322.0)	(17.0, 7150.0)	(18.0, 13958.0)	(19.0, 17226.0)	(20.0, 21705.0)	(21.0, 24239.0)	(22.0, 23104.0)	(23.0, 23303.0)	(24.0, 27888.0)	(25.0, 32062.0)	(26.0, 33005.0)	(27.0, 33704.0)	(28.0, 38871.0)	(29.0, 46624.0)	(30.0, 58450.0)	(31.0, 72397.0)	(32.0, 98624.0)	(33.0, 136722.0)	(34.0, 196271.0)	(35.0, 295978.0)	(36.0, 531728.0)	(37.0, 1005187.0)	(38.0, 2406563.0)	(39.0, 10322931.0)	(40.0, 2370083.0)	
CSP-AL_S8_L007_R1_001	(16.0, 109.0)	(17.0, 4522.0)	(18.0, 51542.0)	(19.0, 190432.0)	(20.0, 329828.0)	(21.0, 392701.0)	(22.0, 446602.0)	(23.0, 483309.0)	(24.0, 544992.0)	(25.0, 602545.0)	(26.0, 672842.0)	(27.0, 751394.0)	(28.0, 898797.0)	(29.0, 1097540.0)	(30.0, 1410270.0)	(31.0, 1800304.0)	(32.0, 2254518.0)	(33.0, 2851936.0)	(34.0, 4022228.0)	(35.0, 5486875.0)	(36.0, 9688657.0)	(37.0, 20942810.0)	(38.0, 61598202.0)	(39.0, 38065253.0)	(40.0, 1789740.0)			
CSP-AL_S8_L007_R2_001	(13.0, 3.0)	(14.0, 44.0)	(15.0, 1525.0)	(16.0, 26446.0)	(17.0, 136702.0)	(18.0, 267380.0)	(19.0, 271682.0)	(20.0, 232306.0)	(21.0, 193817.0)	(22.0, 192249.0)	(23.0, 204721.0)	(24.0, 239169.0)	(25.0, 283664.0)	(26.0, 349041.0)	(27.0, 433415.0)	(28.0, 587132.0)	(29.0, 779471.0)	(30.0, 1042846.0)	(31.0, 1507985.0)	(32.0, 2337874.0)	(33.0, 3249099.0)	(34.0, 4295681.0)	(35.0, 5788200.0)	(36.0, 8875719.0)	(37.0, 15115907.0)	(38.0, 33586973.0)	(39.0, 71480688.0)	(40.0, 4898209.0)
CSP-AT_S7_L007_R1_001	(16.0, 99.0)	(17.0, 4573.0)	(18.0, 52097.0)	(19.0, 196318.0)	(20.0, 341918.0)	(21.0, 400173.0)	(22.0, 453154.0)	(23.0, 492159.0)	(24.0, 557030.0)	(25.0, 614815.0)	(26.0, 690963.0)	(27.0, 772087.0)	(28.0, 916833.0)	(29.0, 1091116.0)	(30.0, 1358770.0)	(31.0, 1708565.0)	(32.0, 2303695.0)	(33.0, 3040322.0)	(34.0, 4220098.0)	(35.0, 5820293.0)	(36.0, 10123253.0)	(37.0, 22813137.0)	(38.0, 71019640.0)	(39.0, 40767474.0)	(40.0, 3543657.0)			
CSP-AT_S7_L007_R2_001	(13.0, 2.0)	(14.0, 39.0)	(15.0, 1789.0)	(16.0, 29502.0)	(17.0, 149944.0)	(18.0, 291558.0)	(19.0, 295668.0)	(20.0, 256615.0)	(21.0, 216804.0)	(22.0, 214844.0)	(23.0, 230862.0)	(24.0, 271391.0)	(25.0, 324026.0)	(26.0, 398485.0)	(27.0, 494653.0)	(28.0, 664026.0)	(29.0, 887872.0)	(30.0, 1178458.0)	(31.0, 1653526.0)	(32.0, 2530967.0)	(33.0, 3411026.0)	(34.0, 4495461.0)	(35.0, 6166086.0)	(36.0, 9520999.0)	(37.0, 16160526.0)	(38.0, 35766335.0)	(39.0, 82132345.0)	(40.0, 5558430.0)
CSP-YL_S6_L007_R1_001	(16.0, 112.0)	(17.0, 4252.0)	(18.0, 48354.0)	(19.0, 185618.0)	(20.0, 332984.0)	(21.0, 389688.0)	(22.0, 438541.0)	(23.0, 475252.0)	(24.0, 539316.0)	(25.0, 596911.0)	(26.0, 670960.0)	(27.0, 746764.0)	(28.0, 878747.0)	(29.0, 1034750.0)	(30.0, 1262935.0)	(31.0, 1555868.0)	(32.0, 2122589.0)	(33.0, 2992185.0)	(34.0, 4357667.0)	(35.0, 6072949.0)	(36.0, 10176953.0)	(37.0, 24285555.0)	(38.0, 70088772.0)	(39.0, 37867801.0)	(40.0, 727606.0)			
CSP-YL_S6_L007_R2_001	(13.0, 2.0)	(14.0, 50.0)	(15.0, 1579.0)	(16.0, 25387.0)	(17.0, 134407.0)	(18.0, 261974.0)	(19.0, 258511.0)	(20.0, 216559.0)	(21.0, 182299.0)	(22.0, 182898.0)	(23.0, 195019.0)	(24.0, 227488.0)	(25.0, 269230.0)	(26.0, 332479.0)	(27.0, 410350.0)	(28.0, 560243.0)	(29.0, 744787.0)	(30.0, 1015277.0)	(31.0, 1528534.0)	(32.0, 2403410.0)	(33.0, 3271201.0)	(34.0, 4369828.0)	(35.0, 6049124.0)	(36.0, 9328214.0)	(37.0, 15788271.0)	(38.0, 35681132.0)	(39.0, 78603949.0)	(40.0, 5810927.0)
CSP-YT_S5_L007_R1_001	(16.0, 141.0)	(17.0, 4618.0)	(18.0, 48152.0)	(19.0, 171344.0)	(20.0, 293003.0)	(21.0, 346493.0)	(22.0, 390524.0)	(23.0, 418310.0)	(24.0, 472643.0)	(25.0, 527674.0)	(26.0, 605418.0)	(27.0, 695379.0)	(28.0, 874790.0)	(29.0, 1143176.0)	(30.0, 1526216.0)	(31.0, 1863769.0)	(32.0, 2207870.0)	(33.0, 2872045.0)	(34.0, 4143945.0)	(35.0, 5860214.0)	(36.0, 10948839.0)	(37.0, 22724751.0)	(38.0, 59443348.0)	(39.0, 31087676.0)	(40.0, 741814.0)			
CSP-YT_S5_L007_R2_001	(13.0, 5.0)	(14.0, 46.0)	(15.0, 1451.0)	(16.0, 24266.0)	(17.0, 127396.0)	(18.0, 261384.0)	(19.0, 271384.0)	(20.0, 237133.0)	(21.0, 197306.0)	(22.0, 192496.0)	(23.0, 201841.0)	(24.0, 232717.0)	(25.0, 272466.0)	(26.0, 333418.0)	(27.0, 404901.0)	(28.0, 537730.0)	(29.0, 709974.0)	(30.0, 964280.0)	(31.0, 1401288.0)	(32.0, 2256955.0)	(33.0, 3161538.0)	(34.0, 4140956.0)	(35.0, 5696656.0)	(36.0, 8977701.0)	(37.0, 15298217.0)	(38.0, 33539649.0)	(39.0, 67062233.0)	(40.0, 2906765.0)
GE-AL_S4_L005_R1_001	(15.0, 1.0)	(16.0, 59.0)	(17.0, 2167.0)	(18.0, 23919.0)	(19.0, 99349.0)	(20.0, 243709.0)	(21.0, 429809.0)	(22.0, 620498.0)	(23.0, 764721.0)	(24.0, 883824.0)	(25.0, 952501.0)	(26.0, 1074821.0)	(27.0, 1241246.0)	(28.0, 1488810.0)	(29.0, 1766958.0)	(30.0, 2191460.0)	(31.0, 2720048.0)	(32.0, 3691727.0)	(33.0, 5208797.0)	(34.0, 7347974.0)	(35.0, 10469278.0)	(36.0, 18010231.0)	(37.0, 32573524.0)	(38.0, 78805699.0)	(39.0, 331892425.0)	(40.0, 69519377.0)		
