Martian Runtime - v4.0.13
Serving UI at http://c0611a-s23.ufhpc:45025?auth=aUEBN0OrfnB2EV7geiAVCmc_wJ8S3VK18edtVToWUnY

Running preflight checks (please wait)...
2025-08-21 23:49:35 [runtime] (ready)           ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.COUNT_GEM_WELL_PROCESSOR._BASIC_SC_RNA_COUNTER._MATRIX_COMPUTER.MAKE_SHARD
2025-08-21 23:49:35 [runtime] (run:local)       ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.COUNT_GEM_WELL_PROCESSOR._BASIC_SC_RNA_COUNTER._MATRIX_COMPUTER.MAKE_SHARD.fork0.split
2025-08-21 23:49:35 [runtime] (chunks_complete) ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_WEBSUMMARY_BUILDER.BUILD_MULTI_GRAPH_VIEW
2025-08-21 23:49:38 [runtime] (ready)           ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.MAKE_VDJ_FILTER_SWITCH
2025-08-21 23:49:38 [runtime] (run:local)       ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.MAKE_VDJ_FILTER_SWITCH.fork0.chnk0.main
2025-08-21 23:49:38 [runtime] (ready)           ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.CHECK_BARCODES_COMPATIBILITY_VDJ.fork0
2025-08-21 23:49:38 [runtime] (run:local)       ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.CHECK_BARCODES_COMPATIBILITY_VDJ.fork0.chnk0.main
2025-08-21 23:49:38 [runtime] (ready)           ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.CHECK_BARCODES_COMPATIBILITY_VDJ.fork1
2025-08-21 23:49:38 [runtime] (run:local)       ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.CHECK_BARCODES_COMPATIBILITY_VDJ.fork1.chnk0.main
2025-08-21 23:49:38 [runtime] (chunks_complete) ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.SPLIT_VDJ_INPUTS
2025-08-21 23:49:39 [runtime] (chunks_complete) ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.CHECK_BARCODES_COMPATIBILITY
2025-08-21 23:49:39 [runtime] (split_complete)  ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.COUNT_GEM_WELL_PROCESSOR._BASIC_SC_RNA_COUNTER._MATRIX_COMPUTER.MAKE_SHARD
2025-08-21 23:49:39 [runtime] (run:local)       ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.COUNT_GEM_WELL_PROCESSOR._BASIC_SC_RNA_COUNTER._MATRIX_COMPUTER.MAKE_SHARD.fork0.chnk0.main
2025-08-21 23:49:39 [runtime] (run:local)       ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.COUNT_GEM_WELL_PROCESSOR._BASIC_SC_RNA_COUNTER._MATRIX_COMPUTER.MAKE_SHARD.fork0.chnk1.main
2025-08-21 23:49:39 [runtime] (run:local)       ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.COUNT_GEM_WELL_PROCESSOR._BASIC_SC_RNA_COUNTER._MATRIX_COMPUTER.MAKE_SHARD.fork0.chnk2.main
2025-08-21 23:49:39 [runtime] (chunks_complete) ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.MAKE_VDJ_FILTER_SWITCH
2025-08-21 23:49:39 [runtime] (ready)           ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MAKE_FULL_CONFIG._MAKE_VDJ_CONFIG
2025-08-21 23:49:39 [runtime] (run:local)       ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MAKE_FULL_CONFIG._MAKE_VDJ_CONFIG.fork0.chnk0.main
2025-08-21 23:49:42 [runtime] (chunks_complete) ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MAKE_FULL_CONFIG._MAKE_VDJ_CONFIG
2025-08-21 23:49:44 [runtime] (ready)           ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_T_GEM_WELL_PROCESSOR.MULTI_SETUP_CHUNKS
2025-08-21 23:49:44 [runtime] (run:local)       ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_T_GEM_WELL_PROCESSOR.MULTI_SETUP_CHUNKS.fork0.chnk0.main
2025-08-21 23:49:44 [runtime] (ready)           ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_T_GD_GEM_WELL_PROCESSOR.MULTI_SETUP_CHUNKS
2025-08-21 23:49:44 [runtime] (ready)           ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_B_GEM_WELL_PROCESSOR.MULTI_SETUP_CHUNKS
2025-08-21 23:49:44 [runtime] (run:local)       ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_B_GEM_WELL_PROCESSOR.MULTI_SETUP_CHUNKS.fork0.chnk0.main
2025-08-21 23:49:44 [runtime] (chunks_complete) ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.CHECK_BARCODES_COMPATIBILITY_VDJ.fork1
2025-08-21 23:49:46 [runtime] (ready)           ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_T_GD_GEM_WELL_PROCESSOR.SC_VDJ_CONTIG_ASSEMBLER.MAKE_SHARD
2025-08-21 23:49:46 [runtime] (chunks_complete) ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.CHECK_BARCODES_COMPATIBILITY_VDJ.fork0
2025-08-21 23:49:46 [runtime] (complete)        ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.CHECK_BARCODES_COMPATIBILITY_VDJ.fork1
2025-08-21 23:49:46 [runtime] (chunks_complete) ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_T_GEM_WELL_PROCESSOR.MULTI_SETUP_CHUNKS
2025-08-21 23:49:47 [runtime] (chunks_complete) ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_B_GEM_WELL_PROCESSOR.MULTI_SETUP_CHUNKS
2025-08-21 23:49:47 [runtime] (ready)           ID.AL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_T_GEM_WELL_PROCESSOR.SC_VDJ_CONTIG_ASSEMBLER.MAKE_SHARD
